N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"76,900",500,-0.65%,100,"4,590,763","5,969,783",51.99,"12,770,636",14.91,9.99,
2,SK하이닉스,"125,000",500,-0.40%,"5,000","910,003","728,002",49.11,"3,703,847",11.30,9.53,
3,삼성전자우,"70,900",500,-0.70%,100,"583,427","822,887",74.63,"944,738",13.74,N/A,
4,NAVER,"338,500","16,500",-4.65%,100,"555,306","164,049",56.00,"1,244,024",3.35,15.22,
5,삼성바이오로직스,"838,000","23,000",-2.67%,"2,500","554,463","66,165",10.91,"81,684",135.07,N/A,
6,LG화학,"690,000","26,000",+3.92%,"5,000","487,087","70,592",47.20,"670,653",17.98,2.93,
7,현대차,"214,000",500,+0.23%,"5,000","457,250","213,668",28.34,"862,480",10.84,2.04,
8,카카오,"100,000","5,500",-5.21%,100,"445,785","445,785",30.52,"7,094,196",39.37,2.70,
9,삼성SDI,"642,000","6,000",-0.93%,"5,000","441,468","68,765",45.46,"234,503",40.27,4.54,
10,기아,"85,600",300,-0.35%,"5,000","346,991","405,363",35.30,"1,760,044",7.76,5.05,
11,카카오뱅크,"56,000",400,+0.72%,"5,000","266,089","475,159",16.99,"1,607,130",181.23,5.08,
12,POSCO,"304,500","9,000",+3.05%,"5,000","265,484","87,187",52.53,"1,032,777",4.56,3.61,
13,현대모비스,"269,500","12,500",+4.86%,"5,000","254,874","94,573",34.19,"1,161,071",10.85,4.66,
14,셀트리온,"181,000","6,500",-3.47%,"1,000","249,684","137,947",19.93,"1,029,860",46.06,16.68,
15,KB금융,"55,800",800,-1.41%,"5,000","232,021","415,808",69.60,"984,616",5.33,8.53,
16,SK이노베이션,"247,500","3,500",-1.39%,"5,000","228,852","92,466",23.42,"531,796","-7,279.41",-13.58,
17,LG전자,"135,000","3,500",-2.53%,"5,000","220,925","163,648",28.91,"1,030,096",19.48,13.23,
18,삼성물산,"115,000","2,500",-2.13%,100,"214,920","186,887",15.36,"271,423",13.08,3.81,
19,카카오페이,"152,000","6,000",-3.80%,500,"200,462","131,883",42.77,"366,432",-756.22,-17.97,
20,크래프톤,"402,000","15,000",-3.60%,100,"196,848","48,967",30.34,"371,112",31.51,61.86,
21,신한지주,"37,300",200,-0.53%,"5,000","192,692","516,600",60.42,"1,228,786",4.95,8.20,
22,SK,"244,000","7,500",-2.98%,200,"180,924","74,149",21.65,"248,350",28.51,1.11,
23,LG생활건강,"1,087,000","12,000",+1.12%,"5,000","169,770","15,618",42.99,"52,799",22.62,17.92,
24,SK바이오사이언스,"200,000","16,500",-7.62%,500,"153,000","76,500",5.70,"927,074",77.01,13.25,
25,한국전력,"21,450",350,-1.61%,"5,000","137,701","641,964",14.62,"1,476,106",-12.64,2.91,
